2025-09-10 10:24:14.774314
N		Bubblesort		BetterBubble		Selectsort		Insertionsort
10		0.0		0.0		0.0		0.0
1010		0.0476778		0.0476778		0.0248463		0.0
2010		0.2091405		0.2091405		0.0892317		0.0
3010		0.5194616		0.5194616		0.1553707		0.0
4010		0.931078		0.931078		0.2926915		0.0
5010		1.3730311		1.3730311		0.3917944		0.0
6010		2.0957336		2.0957336		0.6015158		0.0
7010		2.6992605		2.6992605		0.8302381		0.0
8010		3.4142575		3.4142575		1.0682766		0.0
9010		4.3305361		4.3305361		1.4199498		0.0

2025-09-10 10:25:58.612047
N			Bubblesort			BetterBubble			Selectsort			Insertionsort
10			0.0			0.0			0.0			0.0
1010			0.0726693			0.0726693			0.0174932			0.0009966
2010			0.2508197			0.2508197			0.078999			0.0
3010			0.5038598			0.5038598			0.1423943			0.0010014
4010			0.9801795			0.9801795			0.2653394			0.0
5010			1.5085249			1.5085249			0.4131336			0.0
6010			2.089505			2.089505			0.5834839			0.0010002
7010			2.6862791			2.6862791			0.8317206			0.0
8010			3.5691233			3.5691233			1.0490942			0.0008726
9010			4.4253557			4.4253557			1.3273218			0.0

2025-09-10 10:27:07.615002
N			Bubblesort			BetterBubble	Selectsort			Insertionsort
10		0.0		0.0		0.0		0.0
1010		0.0809665		0.0809665		    0.0169275		0.0
2010		0.2642369		0.2642369		0.0824928		0.0
3010		0.4847777		0.4847777		0.2569778		0.0
4010		0.9417932		0.9417932		0.256937		0.0
5010		1.4729841		1.4729841		0.3943965		0.0
6010		2.063436		2.063436		0.6154978		0.0
7010		2.7749102		2.7749102		0.8574297		0.0
8010		3.6375132		3.6375132		1.1154368		0.0
9010		4.5486896		4.5486896		1.4292679		0.0005772

2025-09-10 10:30:00.057324
N         Bubblesort          BetterBubble        Selectsort          Insertionsort       
10        0.0                 0.0                 0.0                 0.0                 
1010      0.0629115           0.0629115           0.0125237           0.0                 
2010      0.191391            0.191391            0.0767732           0.0                 
3010      0.5046425           0.5046425           0.1613243           0.0                 
4010      0.9281759           0.9281759           0.2645385           0.0                 
5010      1.431514            1.431514            0.4022534           0.0                 
6010      2.0091841           2.0091841           0.6241324           0.0                 
7010      2.6755424           2.6755424           0.8233724           0.0                 
8010      3.4007258           3.4007258           1.0627842           0.0010157           
9010      4.3957851           4.3957851           1.3307135           0.0                 


2025-09-10 10:54:38.323481
N         Bubblesort               BetterBubble             Selectsort               Insertionsort            
10        0.0                      0.0                      0.0                      0.0                      
1010      0.071543932              0.071543932              0.0169889927             0.0                      
2010      0.2711248398             0.2711248398             0.0699088573             0.0009784698             
3010      0.5048360825             0.5048360825             0.1674506664             0.0                      
4010      0.9927811623             0.9927811623             0.2651572227             0.0010006428             
5010      1.7267665863             1.7267665863             0.4135313034             0.001005888              
6010      2.2355866432             2.2355866432             0.6049818993             0.0010020733             
7010      3.0504894257             3.0504894257             0.79088974               0.0009999275             
8010      3.704461813              3.704461813              1.0405771732             0.0009996891             
9010      4.2194261551             4.2194261551             1.3275353909             0.0                      

2025-09-10 11:00:16.301072
